ФИО,Тип,Возраст,Пол,Знак зодиака,Партия,Образование,Работа,Должность,Судимость,Задекларированный доход,Сумма на банковских счетах
"Марьяш Ирина Евгеньевна",mnogo_mandate,49,Женский,Близнец,Единая Россия,"Горский сельскохозяйственный институт, 1989Северо-Кавказская академия государственной службы, 1997","Контрольно-счетная палата Кабардино-Балкарской Республики","председатель Контрольно-счетной палаты Кабардино-Балкарской Республики","",1449692.2,42292.24
"Старшинов Михаил Евгеньевич",mnogo_mandate,45,Мужской,Стрелец,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Уральская государственная академия физической культуры', 2004Государственное образовательное учреждение высшего профессионального образования Санкт-Петербургский университет МВД России, 2005","Государственная Дума Федерального Собрания Российской Федерации","первый заместитель председателя Комитета Государственной Думы по делам национальностей","",4735560.13,1025860.22
"Хасанов Мурат Русланович",mnogo_mandate,46,Мужской,Стрелец,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Адыгейский государственный университет', 2004","Комитет Республики Адыгея по физической культуре и спорту","Председатель комитета Республики Адыгея по физической культуре и спорту","",964882.69,1496227.12
"Поклонская Наталья Владимировна",mnogo_mandate,36,Женский,Рыбы,Единая Россия,"Национальный университет внутренних дел, 2002","Прокуратура Республики Крым","прокурор Республики Крым","",2323180.23,141.15
"Селиверстов Виктор Валентинович",mnogo_mandate,62,Мужской,Лев,Единая Россия,"Симферопольское высшее военно-политическое строительное училище, 1975Военно-политическая орденов Ленина и Октябрьской Революции Краснознаменная академия имени В.И. Ленина, 1985","Общероссийское общественное движение 'НАРОДНЫЙ ФРОНТ 'ЗА РОССИЮ', Исполком Общероссийского общественного движения 'НАРОДНЫЙ ФРОНТ 'ЗА РОССИЮ'","руководитель Регионального исполкома Департамента - Регионального исполкома ОБЩЕРОССИЙСКОГО НАРОДНОГО ФРОНТА в городе Москве","",3695958.4,30611343.94
"Петров Юрий Александрович",mnogo_mandate,69,Мужской,Овен,Единая Россия,"Ленинградский ордена Ленина и ордена Трудового Красного Знамени государственный университет им. А.А. Жданова, 1971","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по вопросам собственности","",6938116.77,26146200.43
"Яровая Ирина Анатольевна",mnogo_mandate,50,Женский,Весы,Единая Россия,"Всесоюзный юридический заочный институт, 1988Российская академия государственной службы при Президенте, 2000","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по безопасности и противодействию коррупции","",5580582.44,17636202.27
"Березуцкий Юрий Николаевич",mnogo_mandate,60,Мужской,Лев,Единая Россия,"Хабаровский институт инженеров железнодорожного транспорта, 1978","","Уполномоченный по правам человека в Хабаровском крае","",2661597.55,0
"Пинский Виктор Витальевич",mnogo_mandate,52,Мужской,Водолей,Единая Россия,"Военный университет (Военный Краснознаменный институт Министерства обороны СССР), 1987","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по Регламенту и организации работы Государственной Думы","",4735560.13,235260.4
"Кобзон Иосиф Давыдович",mnogo_mandate,79,Мужской,Дева,Единая Россия,"Государственный музыкально-педагогический институт им. Гнесиных, 1973","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по культуре","",99548907,83320081.09
"Николаев Николай Петрович",mnogo_mandate,46,Мужской,Овен,Единая Россия,"Автономная некоммерческая организация Высшего Профессионального Образования 'Православный Институт святого Иоанна Богослова', 2014","Фонд независимого мониторинга исполнения указов Президента 'Народная экспертиза'","Директор","",5193751.38,301493.97
"Чилингаров Артур Николаевич",mnogo_mandate,77,Мужской,Весы,Единая Россия,"Ленинградское Высшее Инженерное Морское училище им. адм. С.О. Макарова, 1963","Федеральное государственное бюджетное учреждение 'Государственный океанографический институт имени Н.Н. Зубова'","научный руководитель института","",104974100.33,79007218.68
"Шойгу Лариса Кужугетовна",mnogo_mandate,63,Женский,Водолей,Единая Россия,"Томский ордена Трудового Красного Знамени медицинский институт, 1977","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по Регламенту и организации работы Государственной Думы","",5229427.5,4107036.24
"Евтушенко Ирина Дмитриевна",mnogo_mandate,59,Женский,Рак,Единая Россия,"Томский ордена Трудового Красного Знамени медицинский институт, 1980","Областное государственное автономное учреждение здравоохранения 'Областной перинатальный центр'","главный врач","",4143702.88,812938.66
"Белеков Иван Итулович",mnogo_mandate,63,Мужской,Рыбы,Единая Россия,"Литературный институт им. А.М. Горького СП СССР, 1975","Государственное Собрание - Эл Курултай Республики Алтай","депутат, Председатель","",2384575.95,37945.62
"Мельник Владимир Иванович",mnogo_mandate,53,Мужской,Козерог,Единая Россия,"Киевский индустриальный техникум, 1982","Акционерное общество 'СУЭК-Кузбасс'","подземный машинист горных выемочных машин участка № 1 шахты 'Котинская'","",1998884.15,36202.3
"Герасименко Николай Федорович",mnogo_mandate,66,Мужской,Стрелец,Единая Россия,"Алтайский государственный медицинский институт, 1973","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по охране здоровья","",6215648.75,138158.53
"Косяненко Евгений Викторович",mnogo_mandate,53,Мужской,Дева,Единая Россия,"Кемеровский государственный медицинский институт, 1986","Совет народных депутатов Кемеровской области","депутат, председатель","",2867810.08,4949778.79
"Елыкомов Валерий Анатольевич",mnogo_mandate,57,Мужской,Близнец,Единая Россия,"Алтайский государственный медицинский институт им. Ленинского комсомола, 1982Всероссийский заочный финансово-экономический институт, 1998","Краевое государственное бюджетное учреждение здравоохранения 'Краевая клиническая больница'","главный врач","",2433907.58,52332.21
"Фокин Александр Иванович",mnogo_mandate,62,Мужской,Скорпион,Единая Россия,"Барнаульский государственный педагогический институт, 1977","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по природным ресурсам, природопользованию и экологии","",5360304.61,14264324.57
"Горелкин Антон Вадимович",mnogo_mandate,34,Мужской,Водолей,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Кемеровский государственный университет', 2004","Администрация Кемеровской области","начальник главного управления по работе со средствами массовой информации","",1320599.8,21540.11
"Жуков Александр Дмитриевич",mnogo_mandate,60,Мужской,Близнец,Единая Россия,"Московский государственный университет им. М.В. Ломоносова, 1978","Государственная Дума Федерального Собрания Российской Федерации","депутат, Первый заместитель Председателя Государственной Думы Федерального Собрания Российской Федерации, член Комитета Государственной Думы по бюджету и налогам","",6719756,814593.21
"Перминов Дмитрий Сергеевич",mnogo_mandate,37,Мужской,Овен,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования «Омская академия Министерства внутренних дел Российской Федерации», 2004","Аппарат Губернатора и Правительства Омской области","помощник Губернатора Омской области, член Всероссийской политической партии «ЕДИНАЯ РОССИЯ»","",4101193.54,47502.41
"Карпов Анатолий Евгеньевич",mnogo_mandate,65,Мужской,Близнец,Единая Россия,"Ленинградский ордена Ленина и ордена Трудового Красного Знамени государственный университет им. А.А. Жданова, 1978","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по экономической политике, инновационному развитию и предпринимательству","",5817303.23,9336005.22
"Гоголева Татьяна Степановна",mnogo_mandate,55,Женский,Стрелец,Единая Россия,"Ленинградский ордена Трудового Красного Знамени государственный педагогический институт им. А.И. Герцена, 1983","Дума Ханты-Мансийского автономного округа - Югры","депутат","",3023633.1,304491.83
"Брыкин Николай Гаврилович",mnogo_mandate,57,Мужской,Стрелец,Единая Россия,"Тюменская высшая школа МВД РФ, 1993Негосударственное образовательное учреждение высшего профессионального образования Институт бизнеса и права (Нижневартовский филиал), 2007","Региональный Общественный Фонд помощи ветеранам специальных подразделений органов безопасности по борьбе с терроризмом 'Защита Отечества'","Первый заместитель Председателя Правления","",1000502.92,311968.35
"Крашенинников Павел Владимирович",mnogo_mandate,52,Мужской,Близнец,Единая Россия,"Свердловский ордена Трудового Красного Знамени юридический институт им. Р.А. Руденко, 1989","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по гражданскому, уголовному, арбитражному и процессуальному законодательству","",5262089.74,817470.84
"Ветлужских Андрей Леонидович",mnogo_mandate,55,Мужской,Лев,Единая Россия,"Уральский ордена Трудового Красного Знамени политехнический институт им. С.М. Кирова, 1983","Федерация профсоюзов Свердловской области","председатель","",2298146.36,704943.71
"Петров Александр Петрович",mnogo_mandate,58,Мужской,Близнец,Единая Россия,"Пермский государственный педагогический институт, 1979","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по охране здоровья","",4735560.13,304394.54
"Ямпольская Елена Александровна",mnogo_mandate,45,Женский,Близнец,Единая Россия,"Российская академия театрального искусства, 1994","Акционерное общество 'Редакция газеты 'Культура'","главный редактор","",2661629.6,948323.29
"Шишкоедов Василий Михайлович",mnogo_mandate,63,Мужской,Козерог,Единая Россия,"Челябинский институт механизации и электрификации сельского хозяйства, 1975","","Глава Макушинского района Курганской области","",959875.28,2953.13
"Вяткин Дмитрий Федорович",mnogo_mandate,42,Мужской,Близнец,Единая Россия,"Челябинский государственный университет, 1995","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по конституционному законодательству и государственному строительству","",5209820.45,188411.08
"Бугера Михаил Евгеньевич",mnogo_mandate,55,Мужской,Козерог,Единая Россия,"Уфимский нефтяной институт, 1983","Государственное Собрание - Курултай Республики Башкортостан","депутат, заместитель председателя Комитета Государственного Собрания - Курултая Республики Башкортостан по бюджетной, налоговой, инвестиционной политике и территориальному развитию","",2971623.84,66713.86
"Юмашева Инга Альбертовна",mnogo_mandate,31,Женский,Рыбы,Единая Россия,"государственное образовательное учреждение высшего профессионального образования 'Уфимский государственный нефтяной технический университет', 2007Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Дипломатическая академия Министерства иностранных дел Российской Федерации', 2011","Филиал федерального государственного унитарного предприятия 'Всероссийская государственная телевизионная и радиовещательная компания' 'Государственная телевизионная компания 'Телеканал 'Россия'","ведущий программы Группы выпуска программы 'Вести-утро' Службы выпуска информационных программ Дирекции информационных программ","",1152874.76,24533.33
"Марданшин Рафаэль Мирхатимович",mnogo_mandate,55,Мужской,Козерог,Единая Россия,"Уфимский нефтяной институт, 1989Башкирская академия государственной службы и управления при Президенте Республики Башкортостан, 2002Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации', 2015","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета по гражданскому, уголовному, арбитражному и процессуальному законодательству","",16867254.86,4251161.57
"Баталова Рима Акбердиновна",mnogo_mandate,52,Женский,Козерог,Единая Россия,"Уральская государственная академия физической культуры, 1996","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета по физической культуре, спорту и делам молодежи","",6064593.5,15424814.51
"Ишсарин Рамзил Рафаилович",mnogo_mandate,41,Мужской,Близнец,Единая Россия,"Башкирский государственный университет, 2003","Региональный исполнительный комитет Башкортостанского регионального отделения Всероссийской политической партии 'ЕДИНАЯ РОССИЯ'","Руководитель","",1433449.23,371911.69
"Сапко Игорь Вячеславович",mnogo_mandate,50,Мужской,Рак,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение высшего образования 'Пермский государственный национальный исследовательский университет', 1993","Пермская городская Дума","Глава города Перми-председатель Пермской городской Думы","",3323298.86,1940251.83
"Исаев Андрей Константинович",mnogo_mandate,52,Мужской,Весы,Единая Россия,"Московский ордена Ленина и ордена Трудового Красного Знамени государственный педагогический институт имени В.И. Ленина, 1989","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель Председателя Государственной Думы Федерального Собрания Российской Федерации, член Комитета Государственной Думы по труду, социальной политике и делам ветеранов","",6717449.62,239506.48
"Василенко Александр Борисович",mnogo_mandate,68,Мужской,Весы,Единая Россия,"Серпуховское высшее командно-инженерное училище им. Ленинского комсомола, 1971","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета по природным ресурсам, природопользованию и экологии","",14783403.7,189242.46
"Павлова Ольга Ивановна",mnogo_mandate,51,Женский,Телец,Единая Россия,"Казанский государственный университет имени В.И. Ульянова-Ленина, 1987Казанский государственный педагогический институт, 1991","Общественно-государственная организация 'Физкультурно-спортивное общество 'Динамо' Республики Татарстан'","Советник Председателя Совета","",820507.15,87.95
"Сидякин Александр Геннадьевич",mnogo_mandate,39,Мужской,Скорпион,Единая Россия,"Тверской государственный университет, 1999","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству","",10523809.92,1204095.5
"Фаррахов Айрат Закиевич",mnogo_mandate,48,Мужской,Водолей,Единая Россия,"Казанский Государственный медицинский институт, 1993","Министерство финансов Российской Федерации","заместитель Министра финансов Российской Федерации","",12726609.58,15956377.31
"Чайка Валентин Васильевич",mnogo_mandate,63,Мужской,Рак,Единая Россия,"Военная ордена Ленина академия тыла и транспорта, 1986","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по безопасности и противодействию коррупции","",5245165,567928.4
"Богуславский Ирек Борисович",mnogo_mandate,49,Мужской,Дева,Единая Россия,"Казанский государственный финансово-экономический институт, 1991","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по промышленности","",145940445.25,1847406424.7
"Гадыльшин Мурад Асфандиарович",mnogo_mandate,58,Мужской,Лев,Единая Россия,"Казанский государственный университет имени В.И. Ульянова-Ленина, 1980","","Председатель Совета директоров открытого акционерного общества 'Автострада'","",3242027.36,27939356.79
"Бариев Марат Мансурович",mnogo_mandate,55,Мужской,Рак,Единая Россия,"Казанский авиационный институт им. А.Н. Туполева, 1984Казанский государственный университет имени В.И. Ульянова-Ленина, 2000","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по физической культуре, спорту и делам молодежи","",5876516.56,207467.25
"Хуснулин Равиль Камильевич",mnogo_mandate,59,Мужской,Стрелец,Единая Россия,"Волгоградский государственный институт физической культуры, 1979","Общероссийское общественное движение 'НАРОДНЫЙ ФРОНТ 'ЗА РОССИЮ', обособленное структурное подразделение Исполкома Общероссийского общественного движения 'НАРОДНЫЙ ФРОНТ 'ЗА РОССИЮ'","руководитель Регионального исполкома ОБЩЕРОССИЙСКОГО НАРОДНОГО ФРОНТА в Республике Татарстан","",1524078.98,16159.54
"Шаманов Владимир Анатольевич",mnogo_mandate,59,Мужской,Водолей,Единая Россия,"Военная академия Генерального штаба Вооруженных Сил Российской Федерации, 1998","Вооруженные Силы Российской Федерации","командующий Воздушно-десантными войсками","",9469728,18032216.4
"Балыхин Григорий Артёмович",mnogo_mandate,70,Мужской,Скорпион,Единая Россия,"Университет дружбы народов имени Патриса Лумумбы, 1974","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по образованию","",6916627.47,15794724.43
"Симановский Леонид Яковлевич",mnogo_mandate,67,Мужской,Рак,Единая Россия,"Куйбышевский плановый инст. мин. высш. и средн. спец. обр. РСФСР, 1976","Государственная Дума Федерального Собрания Российской Федерации, депутат","заместитель председателя Комитета Государственной Думы по бюджету и налогам","",909362109.33,2992075595.77
"Гутенев Владимир Владимирович",mnogo_mandate,50,Мужской,Овен,Единая Россия,"Новочеркасский ордена 'Знак почета' инженерно-мелиоративный институт, 1990","Государственная Дума Федерального Собрания Российской Федерации, депутат","первый заместитель председателя Комитета Государственной Думы по промышленности","",6106816.16,46367971.38
"Беспалова Марина Павловна",mnogo_mandate,53,Женский,Лев,Единая Россия,"Московский коммерческий университет, 1993Ульяновский государственный университет, 2000Государственное образовательное учреждение высшего профессионального образования Ульяновский государственный университет, 2007","Федеральное государственное бюджетное образовательное учреждение высшего образования 'Ульяновский Государственный Университет'","проректор по экономике и финансам","",1797612.08,392307.33
"Романенко Роман Юрьевич",mnogo_mandate,45,Мужской,Лев,Единая Россия,"Черниговское высшее военное авиационное училище летчиков, 1992","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по обороне","",8529074.18,3046520.06
"Володин Вячеслав Викторович",mnogo_mandate,52,Мужской,Водолей,Единая Россия,"Саратовский ордена 'Знак Почета' институт механизации сельского хозяйства имени М.И. Калинина, 1986Российская академия государственной службы при Президенте Российской Федерации, 1995","Администрация Президента Российской Федерации","первый заместитель Руководителя Администрации Президента Российской Федерации","",87099427.46,539312139.78
"Москвичев Евгений Сергеевич",mnogo_mandate,59,Мужской,Весы,Единая Россия,"Брянский технологический институт, 1983","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по транспорту","",4840634.1,2267766.44
"Баталина Ольга Юрьевна",mnogo_mandate,41,Женский,Скорпион,Единая Россия,"Поволжская академия государственной службы, 1997","Государственная Дума Федерального Собрания Российской Федерации","депутат, председатель Комитета Государственной Думы по труду, социальной политике и делам ветеранов","",4754962.05,628118.68
"Хор Глеб Яковлевич",mnogo_mandate,53,Мужской,Овен,Единая Россия,"Московский ордена Трудового Красного Знамени горный институт, 1985Финансовая Академия при Правительстве РФ, 1998","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по бюджету и налогам","",36652175.94,415389105.36
"Касаева Татьяна Викторовна",mnogo_mandate,37,Женский,Весы,Единая Россия,"Поволжская академия государственной службы, 2001Саратовская государственная академия права, 2002","Саратовский социально-экономический институт (филиал) РЭУ им. Г.В.Плеханова","декан факультета экономической безопастности и таможенного дела","",850199.26,11364.42
"Фролова Тамара Ивановна",mnogo_mandate,57,Женский,Скорпион,Единая Россия,"Волгоградский государственный медицинский институт, 1983Поволжская академия государственной службы имени П.А. Столыпина, 2003","администрация Тамбовской области","заместитель главы администрации области","",2559919.58,127700.88
"Черняева Нина Алексеевна",mnogo_mandate,57,Женский,Телец,Единая Россия,"Волгоградский медицинский институт, 1982","Государственное бюджетное учреждение здравоохранения 'Волгоградская областная клиническая больница № 1', Волгоград","Главный врач","",2299515.71,1078205.61
"Фирюлин Иван Иванович",mnogo_mandate,62,Мужской,Дева,Единая Россия,"Пензенский сельскохозяйственный институт, 1979","Сельскохозяйственный производственный кооператив 'Петровский'","заместитель председателя по животноводству и кадровым вопросам","",1096882.15,44680.57
"Петров Анатолий Ильич",mnogo_mandate,60,Мужской,Водолей,Единая Россия,"Астраханский государственный медицинский институт им. А.В. Луначарского, 1980Поволжская академия государственной службы, 2000","государственное бюджетное учреждение здравоохранения 'Тамбовская областная детская клиническая больница'","главный врач","",1442043.92,1518870.68
"Носов Александр Алексеевич",mnogo_mandate,45,Мужской,Телец,Единая Россия,"Волгоградский сельскохозяйственный институт, 1993","Администрация Еланского муниципального района Волгоградской области","Глава Администрации Еланского муниципального района Волгоградской области","",1145662.49,5672.04
